연번,행정구역,안심 주소,위도,경도,CCTV 수량
103,서울특별시 관악구,A9002 1-1RZ 상도근린공원 (은천동 산103-61와 국사봉체육관),37.4913,126.9411,1
104,서울특별시 관악구,A9003 1-1RZ 국회단지공원 (은천동 635-37와 635-80),37.4903,126.9429,1
105,서울특별시 관악구,A9004 1-1RZ 국회단지공원 (은천동 635-37와 635-80),37.4902,126.9433,1
106,서울특별시 관악구,A9005 1-1R 새숲공원 (조원동 539-14와 538-39),37.4823,126.9133,1
107,서울특별시 관악구,A9006 1-1RZ 새숲공원 (조원동 539-14와 539-13),37.4825,126.913,1
108,서울특별시 관악구,A9007 1-1RZ 약수어린이공원 (미성동 1685와 1686),37.4731,126.9124,1
109,서울특별시 관악구,A9008 1-1R 미도공원 (난향동 675-200와 675-199),37.463,126.9152,1
110,서울특별시 관악구,A9009 1-1RZ 미도공원 (난향동 675-200와 675-211),37.4627,126.9154,1
111,서울특별시 관악구,A9010 1-1RZ 호박골공원 (신원동 1580-22와 1580-25),37.4819,126.9241,1
112,서울특별시 관악구,A9011 1-1RZ 태양공원 (대학동 1542-1와 1542-2),37.4684,126.9366,1
113,서울특별시 관악구,A9012 1-GS 낙성대공원 관리사무소 (낙성대동 228),37.472,126.9597,1
114,서울특별시 관악구,A9012 2-GS 낙성대공원 관리사무소 (낙성대동 228),37.4724,126.96,1
115,서울특별시 관악구,A9012 3-GS 낙성대공원 관리사무소 (낙성대동 228),37.4726,126.9598,1
116,서울특별시 관악구,A9012 4-GS 낙성대공원 관리사무소 (낙성대동 228),37.4721,126.9592,1
117,서울특별시 관악구,A9012 5-GS 낙성대공원 관리사무소 (낙성대동 228),37.472,126.9593,1
118,서울특별시 관악구,A9012 6-GS 낙성대공원 관리사무소 (낙성대동 228),37.4713,126.9586,1
119,서울특별시 관악구,A9012 7-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9585,1
120,서울특별시 관악구,A9012 8-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9589,1
121,서울특별시 관악구,A9012 9-GS 낙성대공원 관리사무소 (낙성대동 228),37.4711,126.959,1
122,서울특별시 관악구,A9012 A-GS 낙성대공원 관리사무소 (낙성대동 228),37.4711,126.9601,1
123,서울특별시 관악구,A9012 B-GS 낙성대공원 관리사무소 (낙성대동 228),37.4709,126.9604,1
124,서울특별시 관악구,A9012 C-GS 낙성대공원 관리사무소 (낙성대동 228),37.4708,126.9608,1
125,서울특별시 관악구,A9012 D-GS 낙성대공원 관리사무소 (낙성대동 228),37.4706,126.9613,1
126,서울특별시 관악구,A9012 E-GS 낙성대공원 관리사무소 (낙성대동 228),37.471,126.9614,1
127,서울특별시 관악구,A9012 F-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9609,1
128,서울특별시 관악구,A9012 G-GS 낙성대공원 관리사무소 (낙성대동 228),37.4709,126.9609,1
129,서울특별시 관악구,"A9027 1-1R [줌인반대] 산불감시(연주대,삼성동)",37.4424,126.9653,1
130,서울특별시 관악구,"A9028 1-1R 산불감시(모자봉,대학동)",37.4524,126.9467,1
131,서울특별시 관악구,"A9029 1-1R 산불감시(삼성산,삼성동)",37.4503,126.9342,1
132,서울특별시 관악구,"A9030 1-1R 산불감시(서울대,대학동)",37.4669,126.9552,1
133,서울특별시 관악구,AA001 1-1R 장군봉소공원(서원동 94-252),37.4782,126.939,1
134,서울특별시 관악구,AA002 1-1RZ 상도근린공원#1(성현동 1712-6),37.4912,126.9536,1
135,서울특별시 관악구,AA003 1-2R 당곡어린이공원(보라매동 662-122),37.4887,126.9336,1
136,서울특별시 관악구,AA003 2-2S 당곡어린이공원(보라매동 662-122),37.4888,126.9336,1
137,서울특별시 관악구,AA004 1-1RLZ 고시자연공원(대학동 255-258),37.4641,126.9353,1
138,서울특별시 관악구,AA005 1-1RZ 대협어린이공원(미성동 746-32),37.4748,126.9134,1
139,서울특별시 관악구,AA006 1-1R 영락어린이공원 (청룡동 1555-16),37.4768,126.9438,1
140,서울특별시 관악구,AA007 1-1R 인헌어린이공원(인헌동 196-240),37.4755,126.9625,1
141,서울특별시 관악구,AA008 1-1R 관악산둘레길광신고후문(난곡동 산87-14),37.4658,126.9238,1
142,서울특별시 관악구,AA009 1-1RZ 선우공원#03(미성동 산117-13),37.4697,126.9126,1
143,서울특별시 관악구,AA010 1-1RZ 나들목공원(대학동 218-1),37.4694,126.9447,1
144,서울특별시 관악구,AA011 1-1RZ 나들목공원(대학동 218-1),37.469,126.9442,1
145,서울특별시 관악구,AA012 1-1RZ 동네뒷산공원(대학동 산24-9),37.468,126.94,1
146,서울특별시 관악구,AA013 1-1RZ 동네뒷산공원(대학동 산24-9),37.4679,126.9404,1
147,서울특별시 관악구,AB001 1-1R 문성어린이공원#1(미성동 산 197-60),37.4778,126.9168,1
148,서울특별시 관악구,AB002 1-1RZ 문성어린이공원#2(미성동 산 197-102),37.4777,126.9188,1
149,서울특별시 관악구,AB003 1-1RL 문성어린이공원#3(미성동 597-47),37.4777,126.9198,1
150,서울특별시 관악구,AB004 1-1RZ 문성어린이소공원 (조원동 1661-15),37.4819,126.9029,1
151,서울특별시 관악구,AB005 1-1R 장미어린이공원 (행운동 148-103),37.4792,126.9624,1
152,서울특별시 관악구,AB006 1-1RL 선봉어린이공원 (은천동 942-29),37.4851,126.9395,1
153,서울특별시 관악구,AB007 1-1RZ 해바라기어린이공원 (삼성동 321-5),37.462,126.9303,1
154,서울특별시 관악구,AB008 1-1RZ 난우어린이집공원 (미성동 1482-1),37.4802,126.9141,1
155,서울특별시 관악구,AB009 1-1R 난곡어린이공원 (미성동 1563-56),37.474,126.9153,1
156,서울특별시 관악구,AB010 1-1RZ 낙성대지구 (낙성대동 산56-3),37.4757,126.9561,1
157,서울특별시 관악구,"AB011 1-1RZ 관악산공원 (대학동 산32-23,야외식물원 주변 둘레길 입구)",37.4635,126.9481,1
158,서울특별시 관악구,AB012 1-1R 난곡공원 (난향동 산105-12),37.4658,126.9173,1
